homeTeam,awayTeam,kickOff,stage,status,isKnockout,venue
ES,AR,2026-07-19T15:00:00-04:00,Final,SCHEDULED,true,MetLife Stadium - New York New Jersey
FR,EN,2026-07-18T17:00:00-04:00,3rd Place,SCHEDULED,true,Hard Rock Stadium - Miami
