homeTeam,awayTeam,kickOff,stage,status,isKnockout,venue
TR,US,2026-06-25T19:00:00-07:00,Group Stage,SCHEDULED,false,SoFi Stadium - Inglewood
PY,AU,2026-06-25T19:00:00-07:00,Group Stage,SCHEDULED,false,Levi's Stadium - Santa Clara
NO,FR,2026-06-26T15:00:00-04:00,Group Stage,SCHEDULED,false,Gillette Stadium - Foxborough
SN,IQ,2026-06-26T15:00:00-04:00,Group Stage,SCHEDULED,false,BMO Field - Toronto
EG,IR,2026-06-26T20:00:00-07:00,Group Stage,SCHEDULED,false,Lumen Field - Seattle
NZ,BE,2026-06-26T20:00:00-07:00,Group Stage,SCHEDULED,false,BC Place - Vancouver
CV,SA,2026-06-26T19:00:00-05:00,Group Stage,SCHEDULED,false,NRG Stadium - Houston
UY,ES,2026-06-26T18:00:00-06:00,Group Stage,SCHEDULED,false,Estadio Akron - Zapopan
PA,EN,2026-06-27T17:00:00-04:00,Group Stage,SCHEDULED,false,MetLife Stadium - East Rutherford
HR,GH,2026-06-27T17:00:00-04:00,Group Stage,SCHEDULED,false,Lincoln Financial Field - Philadelphia
DZ,AT,2026-06-27T21:00:00-05:00,Group Stage,SCHEDULED,false,Arrowhead Stadium - Kansas City
JO,AR,2026-06-27T21:00:00-05:00,Group Stage,SCHEDULED,false,AT&T Stadium - Arlington
CO,PT,2026-06-27T19:30:00-04:00,Group Stage,SCHEDULED,false,Hard Rock Stadium - Miami Gardens
CD,UZ,2026-06-27T19:30:00-04:00,Group Stage,SCHEDULED,false,Mercedes-Benz Stadium - Atlanta
