homeTeam,awayTeam,kickOff,stage,status,isKnockout,venue
FR,ES,2026-07-14T15:00:00-04:00,Semi Final,SCHEDULED,true,AT&T Stadium - Arlington
EN,AR,2026-07-15T15:00:00-04:00,Semi Final,SCHEDULED,true,Mercedes-Benz Stadium - Atlanta
