homeTeam,awayTeam,kickOff,stage,status,isKnockout,venue
CA,MA,2026-07-04T13:00:00-04:00,Round of 16,SCHEDULED,true,Lincoln Financial Field - Philadelphia
PY,FR,2026-07-04T17:00:00-04:00,Round of 16,SCHEDULED,true,Hard Rock Stadium - Miami
BR,NO,2026-07-05T16:00:00-04:00,Round of 16,SCHEDULED,true,AT&T Stadium - Arlington
MX,EN,2026-07-05T20:00:00-04:00,Round of 16,SCHEDULED,true,NRG Stadium - Houston
PT,ES,2026-07-06T15:00:00-04:00,Round of 16,SCHEDULED,true,Mercedes-Benz Stadium - Atlanta
US,BE,2026-07-06T20:00:00-04:00,Round of 16,SCHEDULED,true,Estadio Azteca - Mexico City
TBD,TBD,2026-07-07T12:00:00-04:00,Round of 16,SCHEDULED,true,BC Place - Vancouver
CH,TBD,2026-07-07T16:00:00-04:00,Round of 16,SCHEDULED,true,Levi's Stadium - Santa Clara
