homeTeam,awayTeam,kickOff,stage,status,isKnockout,venue
FR,MA,2026-07-09T16:00:00-04:00,Quarter Final,SCHEDULED,true,Gillette Stadium - Foxborough
NO,EN,2026-07-11T17:00:00-04:00,Quarter Final,SCHEDULED,true,Hard Rock Stadium - Miami Gardens
